MSSV,MH1,MH2,MH3,MH4,MH5,MH6,MH7,MH8,MH9,MH10,MH11,MH12,MH13,MH14,MH15,MH16,MH17,MH18,DTB
18110001,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.53
18110002,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,9.2
18110003,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,5.29
18110004,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,7.29
18110005,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,9.69
18110006,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,6.81
18110007,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,6.91
18110008,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Software technology,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.69
18110009,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Mobile programming,5.85
18110010,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Mobile programming,5.76
18110011,Introduction to programming,Linear algebra,Analytics,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Digital image processing,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,8.5
18110012,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,Advanced programming language, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,9.43
18110013,Introduction to programming,Linear algebra,English,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Software technology,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Software project management,8.06
18110014,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,Artificial intelligence,Database,Windows Programming,Information security ,Database management system,Web Programming,Cloud computing,Web Security,Analysis and design of information systems,Data warehouse,5.5
18110015,Introduction to programming,Linear algebra,Discrete math,Programming techniques,Basic computer network,HTML CSS JS Self learning, Object Oriented Programming,Data structures and algorithms,   Operating system,Database,Windows Programming,Information security ,Database management system,Web Programming,Ecommerce,Web Security,Analysis and design of information systems,Software project management,6.65
